order_id,product_id,customer_id,date,size,channel,price
1120100,5011,1402561,10/01/2023,12,search_bing,$110.00
1120101,5096,1402573,10/25/2023,8,email_existing,$190.00
1120102,5131,1403036,11/29/2023,10,email_new_user,$55.00
1120103,5034,1402533,10/10/2023,14,email_new_user,$210.00
1120104,5060,1402881,11/29/2023,7,search_google,$90.00
1120105,5119,1402817,11/29/2023,6,Google,$60.00
1120106,5121,1402688,10/16/2023,7,social_fb,$45.00
1120107,5087,1402656,10/27/2023,10,Google,$205.00
1120108,5045,1402758,10/19/2023,12,Google,$110.00
1120109,5064,1402694,10/07/2023,7,search_google,$60.00
1120110,5067,1402611,10/23/2023,7,Google,$90.00
1120111,5100,1402793,10/25/2023,5,affiliate_display,$185.00
1120112,5035,1403098,10/04/2023,6,email_new_user,$80.00
1120113,5039,1402591,10/23/2023,7,email_new_user,$195.00
1120114,5092,1402874,10/24/2023,9,social_tiktok,$195.00
1120115,5103,1402585,10/22/2023,7,search_google,$230.00
1120116,5039,1402752,10/06/2023,10,email_existing,$180.00
1120117,5047,1402863,10/01/2023,13,search_google,$75.00
1120118,5098,1402823,10/04/2023,10,TikTok,$225.00
1120119,5123,1403034,10/09/2023,11,affiliate_text,$50.00
1120120,5021,1402748,10/14/2023,11,GA,$65.00
1120121,5032,1402976,11/28/2023,8,social_twitter,$100.00
1120122,5013,1403028,10/16/2023,12,email_existing,$120.00
1120123,5080,1402652,10/15/2023,8,email_new_user,$120.00
1120124,5085,1402671,10/04/2023,9,social_fb,$80.00
1120125,5084,1403009,10/08/2023,10,affiliate_text,$80.00
1120126,5094,1402971,10/21/2023,6,email_existing,$250.00
1120127,5081,1403035,10/01/2023,8,Google Analytics,$75.00
1120128,5110,1403027,11/30/2023,6,social_tiktok,$215.00
1120129,5073,1402966,10/15/2023,7,Bing,$50.00
1120130,5120,1402900,10/02/2023,9,email_new_user,$60.00
1120131,5066,1402912,10/09/2023,6,search_bing,$75.00
1120132,5028,1402724,10/06/2023,9,Yahoo,$70.00
1120133,5096,1403074,10/23/2023,10,email_new_user,$220.00
1120134,5139,1402716,10/18/2023,8,search_google,$65.00
1120135,5012,1402523,10/29/2023,10,email_existing,23%
1120136,5090,1402734,10/24/2023,7,email_existing,$75.00
1120137,5109,1402973,10/12/2023,7,email_existing,$190.00
1120138,5021,1402988,10/22/2023,10,search_google,$60.00
1120139,5134,1402718,10/30/2023,13,google_search,$30.00
1120140,5137,1402801,10/08/2023,9,FB,$30.00
1120141,5039,1403032,10/08/2023,11,email_existing,$195.00
1120142,5044,1402738,10/02/2023,9,social_tiktok,$80.00
1120143,5006,1402801,10/30/2023,9,search_google,$70.00
1120144,5071,1402839,10/05/2023,5,email_existing,$55.00
1120145,5085,1402963,10/14/2023,9,search_yahoo,$75.00
1120146,5102,1402545,10/05/2023,8,search_google,$190.00
1120147,5065,1403067,10/19/2023,9,social_tiktok,$95.00
1120148,5106,1402693,10/05/2023,6,search_google,$200.00
1120149,5036,1402902,10/20/2023,7,email_new_user,$230.00
1120150,5026,1403064,10/22/2023,8,email_existing,$95.00
1120151,5066,1402567,10/15/2023,6,search_google,$75.00
1120152,5036,1402556,10/16/2023,9,email_new_user,$230.00
1120153,5067,1402622,11/25/2023,11,social_fb,$105.00
1120154,5000,1402954,10/16/2023,8,search_google,$95.00
1120155,5000,1402975,10/12/2023,8,email_new_user,$110.00
1120156,5025,1403072,10/07/2023,6,social_fb,$100.00
1120157,5035,1402924,10/21/2023,9,search_google,$70.00
1120158,5139,1402933,10/31/2023,11,search_bing,$55.00
1120159,5048,1403039,10/25/2023,7,search_bing,$190.00
1120160,5087,1402591,11/22/2023,10,email_existing,$205.00
1120161,5027,1402735,11/09/2023,8,GA,$130.00
1120162,5055,1402878,11/28/2023,10,social_fb,$235.00
1120163,5034,1402759,11/27/2023,7,affiliate_text,$225.00
1120164,5012,1402556,11/25/2023,9,Bing,$70.00
1120165,5026,1402819,11/24/2023,9,email_new_user,$95.00
1120166,5018,1402830,11/12/2023,13,Bing,$75.00
1120167,5125,1402980,11/18/2023,13,email_new_user,$45.00
1120168,5050,1402864,11/11/2023,6,email_existing,$95.00
1120169,5094,1402944,11/12/2023,7,search_bing,$250.00
1120170,5073,1402580,11/30/2023,8,email_existing,$50.00
1120171,5124,1402542,11/19/2023,12,search_google,$60.00
1120172,5121,1402899,11/26/2023,11,search_google,$40.00
1120173,5045,1402547,11/23/2023,10,social_tiktok,$130.00
1120174,5018,1402785,11/26/2023,6,email_existing,$90.00
1120175,5121,1402704,11/19/2023,8,email_existing,$40.00
1120176,5118,1402835,11/16/2023,10,search_google,$60.00
1120177,5083,1402876,11/07/2023,7,Yahoo,$115.00
1120178,5087,1402654,11/16/2023,8,affiliate_text,$205.00
1120179,5052,1403065,11/30/2023,9,email_existing,$65.00
1120180,5025,1402753,11/30/2023,12,search_google,$100.00
1120181,5062,1402620,11/18/2023,6,email_existing,$110.00
1120182,5128,1402806,11/07/2023,7,email_existing,$55.00
1120183,5058,1403030,11/16/2023,8,email_existing,$95.00
1120184,5011,1403088,11/11/2023,7,email_existing,$110.00
1120185,5139,1402722,11/21/2023,11,search_bing,$65.00
1120186,5086,1402869,11/08/2023,11,affiliate_display,$115.00
1120187,5016,1402998,11/30/2023,9,social_tiktok,$55.00
1120188,5043,1403036,11/27/2023,10,email_existing,$210.00
1120189,5068,1402938,11/25/2023,4,social_fb,$85.00
1120190,5016,1403066,11/16/2023,9,search_yahoo,$60.00
1120191,5100,1402584,11/12/2023,8,search_google,$170.00
1120192,5028,1403025,11/22/2023,8,Bing,$65.00
1120193,5033,1402671,11/19/2023,9,affiliate_display,$90.00
1120194,5095,1402653,11/25/2023,9,social_fb,$180.00
1120195,5122,1402842,11/19/2023,7,email_existing,$35.00
1120196,5014,1403016,11/20/2023,9,search_google,$65.00
1120197,5015,1402622,11/21/2023,10,email_new_user,$70.00
1120198,5008,1402816,11/07/2023,7,social_tiktok,$105.00
1120199,5011,1402590,11/02/2023,10,search_yahoo,$95.00
1120200,5045,1402711,11/05/2023,7,email_new_user,$130.00
1120201,5121,1402757,11/19/2023,11,affiliate_display,$40.00
1120202,5087,1402959,11/16/2023,7,social_fb,$190.00
1120203,5111,1403097,11/16/2023,6,search_bing,$155.00
1120204,5136,1402567,11/19/2023,7,email_new_user,$35.00
1120205,5076,1402601,11/29/2023,7,social_fb,$120.00
1120206,5026,1402933,11/09/2023,10,email_new_user,$110.00
1120207,5087,1402650,11/27/2023,5,search_google,$220.00
1120208,5129,1402835,11/03/2023,11,email_newuser,$70.00
1120209,5051,1402941,11/09/2023,8,FB,$75.00
1120210,5007,1402920,11/24/2023,10,Google Analytics,$50.00
1120211,5024,1402524,11/18/2023,11,search_google,$125.00
1120212,5124,1402591,11/22/2023,9,social_tiktok,$65.00
1120213,5066,1402755,11/15/2023,6,email_existing,$75.00
1120214,5097,1403076,11/27/2023,5,social_twitter,$185.00
1120215,5048,1402830,11/15/2023,12,email_existing,$220.00
1120216,5011,1403086,11/27/2023,9,email_new_user,$95.00
1120217,5043,1402627,11/02/2023,8,email_existing,$225.00
1120218,5025,1402616,11/15/2023,11,search_google,$100.00
1120219,5123,1402538,11/08/2023,9,email_new_user,$60.00
1120220,5047,1402624,11/25/2023,11,Google Analytics,$80.00
1120221,5090,1402798,11/18/2023,8,google_search,$70.00
1120222,5096,1402694,11/26/2023,6,email_existing,$220.00
1120223,5042,1403027,11/19/2023,8,search_yahoo,$80.00
1120224,5100,1402939,11/20/2023,7,email_existing,120%
1120225,5080,1403016,12/06/2023,7,search_google,$110.00
1120226,5106,1402772,12/25/2023,9,email_existing,$185.00
1120227,5054,1402801,12/24/2023,9,search_google,$75.00
1120228,5032,1403096,12/18/2023,11,Google,$105.00
1120229,5112,1402600,12/14/2023,6,email_new_user,$145.00
1120230,5091,1402639,12/02/2023,7,email_new_user,$245.00
1120231,5047,1402579,12/04/2023,11,search_google,$80.00
1120232,5030,1402844,12/16/2023,13,email_existing,$95.00
